building_type_id,non_residential_sqft,note,parcel_id,residential_units,stories,unit_price_non_residential,year_built,res_price_per_sqft,residential_price,non_residential_price,job_spaces,building_sqft,DEVTYPE
1,0,pipeline,594112,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594115,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594116,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594118,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594120,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594125,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594132,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594134,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594136,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594140,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594144,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594149,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594152,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594155,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594161,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594163,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594164,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594166,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594169,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594173,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594174,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594180,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594181,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594185,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594186,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594190,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594192,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594193,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594194,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594195,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594196,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594199,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594200,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594201,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594202,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594205,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594206,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594207,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594209,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594213,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594215,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594216,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594218,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594219,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594220,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594225,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594228,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594230,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594231,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594232,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594233,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594236,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594237,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594239,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594242,1,1,0,2021,0,0,0,0,0,develop
4,7255,pipeline,594244,0,1,0,2020,0,0,0,20,7255,develop
2,0,pipeline,594248,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594250,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594252,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594253,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594254,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594258,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594259,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594263,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594265,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594266,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594270,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594271,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594273,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594274,1,1,0,2022,0,0,0,0,0,develop
3,40000,pipeline,594276,0,1,0,2021,0,0,0,42,40000,develop
1,0,pipeline,594277,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594280,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594281,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594283,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594284,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594285,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594287,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594288,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594289,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594291,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594293,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594294,1,1,0,2024,0,0,0,0,0,develop
2,0,pipeline,594296,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594297,1,1,0,2024,0,0,0,0,0,develop
2,0,pipeline,594299,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594300,1,1,0,2024,0,0,0,0,0,develop
2,0,pipeline,594302,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594304,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594307,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594312,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594314,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594316,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594317,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594321,1,1,0,2023,0,0,0,0,0,develop
2,0,pipeline,594322,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594323,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594324,1,1,0,2023,0,0,0,0,0,develop
2,0,pipeline,594325,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594326,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594328,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594329,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594330,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594332,1,1,0,2024,0,0,0,0,0,develop
2,0,pipeline,594333,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594335,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594338,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594339,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594341,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594344,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594345,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594346,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594347,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594348,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594350,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594351,1,1,0,2022,0,0,0,0,0,develop
2,0,pipeline,594353,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594355,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594357,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594358,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594359,1,1,0,2023,0,0,0,0,0,develop
2,0,pipeline,594360,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594363,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594364,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,594365,1,1,0,2021,0,0,0,0,0,develop
