year,sector_id,number_of_jobs,cid
2042,11,1497,35
2042,12,39328,35
2042,1,30085,49
2042,2,54017,49
2042,3,78332,49
2042,4,57027,49
2042,5,27625,49
2042,6,94659,49
2042,7,124345,49
2042,8,1018,49
2042,9,55385,49
2042,10,19507,49
2042,11,3228,49
2042,12,19825,49
2042,1,9405,57
2042,2,13682,57
2042,3,26589,57
2042,4,20342,57
2042,5,19254,57
2042,6,14244,57
2042,7,43244,57
2042,8,242,57
2042,9,16605,57
2042,10,8601,57
2042,11,1383,57
2042,12,4347,57
2043,1,13849,11
2043,2,24182,11
2043,3,49562,11
2043,4,26413,11
2043,5,17550,11
2043,6,30750,11
2043,7,60242,11
2043,8,200,11
2043,9,25064,11
2043,10,11800,11
2043,11,1244,11
2043,12,7378,11
2043,1,69405,35
2043,2,90946,35
2043,3,179975,35
2043,4,118239,35
2043,5,73250,35
2043,6,202084,35
2043,7,323594,35
2043,8,4340,35
2043,9,101807,35
2043,10,98889,35
2043,11,1511,35
2043,12,39914,35
2043,1,30618,49
2043,2,55390,49
2043,3,79462,49
2043,4,57942,49
2043,5,27876,49
2043,6,96299,49
2043,7,125851,49
2043,8,1038,49
2043,9,56381,49
2043,10,19537,49
2043,11,3229,49
2043,12,20333,49
2043,1,9500,57
2043,2,14017,57
2043,3,26716,57
2043,4,20498,57
2043,5,19377,57
2043,6,14379,57
2043,7,43511,57
2043,8,248,57
2043,9,16815,57
2043,10,8548,57
2043,11,1378,57
2043,12,4420,57
2044,1,14027,11
2044,2,24831,11
2044,3,49956,11
2044,4,26827,11
2044,5,17572,11
2044,6,31125,11
2044,7,60667,11
2044,8,201,11
2044,9,25462,11
2044,10,11756,11
2044,11,1258,11
2044,12,7513,11
2044,1,70210,35
2044,2,93175,35
2044,3,181581,35
2044,4,119889,35
2044,5,73555,35
2044,6,204958,35
2044,7,326196,35
2044,8,4358,35
2044,9,103281,35
2044,10,98623,35
2044,11,1524,35
2044,12,40817,35
2044,1,31132,49
2044,2,56859,49
2044,3,80651,49
2044,4,58950,49
2044,5,28136,49
2044,6,98143,49
2044,7,127439,49
2044,8,1054,49
